Transaction_ID,Date,Branch,Product_Category,Product_Name,Unit_Price,Quantity_Sold,Revenue,Cost,Profit,Customer_Gender,Customer_Age_Group,Payment_Method
TXN14260,2024-02-28,Lagos-Island,Fresh Produce,Onions (1kg),3660,2,7320,5318,2002.0,Female,36-45,Transfer
TXN14992,2023-07-10,Abuja-Wuse,Household & Cleaning,Safi Bleach (1L),2080,2,4160,3107,1053.0,Male,55+,POS/Card
TXN11404,2023-07-15,Ikeja,Fresh Produce,Tomatoes (1kg),1740,1,1740,1307,433.0,Female,18-25,Cash
TXN14210,2023-10-03,Lagos-Island,Baby Products,SMA Gold (400g),2480,3,7440,5573,1867.0,Female,36-45,POS/Card
TXN16408,2023-10-21,Kano,Household & Cleaning,Dustbin (medium),3550,1,3550,2460,1090.0,Male,36-45,Cash
TXN16074,2024-06-10,Ikeja,Grains & Staples,Garri (5kg),8500,1,8500,6551,1949.0,Male,26-35,Cash
TXN16102,2024-02-06,Owerri,Baby Products,Cerelac (500g),5520,1,5520,4032,1488.0,Female,26-35,Mobile Money (OPay/Palmpay)
TXN16716,2024-01-01,Ikorodu,Household & Cleaning,Ariel Detergent (2kg),1310,1,1310,980,330.0,Female,18-25,POS/Card
TXN13248,2024-04-25,Kano,Grains & Staples,Golden Penny Flour (5kg),2070,5,10350,8568,1782.0,Male,26-35,Transfer
TXN13613,2023-08-14,Lagos-Island,Baby Products,Teething Ring,14610,1,14610,10245,4365.0,Male,26-35,POS/Card
TXN10871,2023-04-10,Ibadan,Fresh Produce,Carrot (500g),470,5,2350,1643,707.0,Female,26-35,Cash
TXN13030,2023-05-10,Enugu,Grains & Staples,Beans (2kg),6320,6,37920,29774,8146.0,Female,26-35,Cash
TXN17086,2023-07-27,Port Harcourt,Snacks & Confectionery,Peanut Butter (340g),4310,3,12930,8298,4632.0,Female,36-45,Cash
TXN10142,2023-02-08,Surulere,Personal Care,Oral-B Toothbrush,2850,2,5700,4073,1627.0,Male,36-45,POS/Card
TXN11249,2024-03-01,Port Harcourt,Snacks & Confectionery,Peanut Butter (340g),4240,1,4240,2712,1528.0,Female,26-35,POS/Card
TXN14907,2023-11-02,Lagos-Island,Household & Cleaning,Ariel Detergent (2kg),6870,3,20610,13613,6997.0,Male,55+,POS/Card
TXN11208,2023-08-18,Abuja-Garki,Grains & Staples,Cornflakes (500g),8590,3,25770,21081,4689.0,Male,36-45,POS/Card
TXN14369,2023-09-07,Port Harcourt,Frozen & Dairy,Turkey Wings (1kg),8020,2,16040,13497,2543.0,Female,26-35,Cash
TXN12151,2023-01-08,Owerri,Beverages,Chi Exotic Juice (1L),3960,2,7920,5994,1926.0,Female,46-55,Cash
TXN13892,2024-03-13,Ibadan,Grains & Staples,Oat Meal (1kg),6240,3,18720,14810,3910.0,Male,55+,Cash
TXN16393,2023-02-10,Ikorodu,Household & Cleaning,Air Freshener (Glade),4190,10,41900,30597,11303.0,Male,36-45,Cash
TXN15308,2023-04-21,Abuja-Garki,Baby Products,Cow & Gate Formula (400g),10820,5,54100,37287,16813.0,Female,26-35,Cash
TXN15560,2023-08-11,Abuja-Garki,Frozen & Dairy,Catfish Fillet (500g),4560,1,4560,3650,910.0,Male,26-35,POS/Card
TXN15628,2023-02-21,Port Harcourt,Household & Cleaning,Bucket (15L),6000,2,12000,7804,4196.0,Female,26-35,Transfer
